#LungCancer_500	AD-043T2-A7-1	AD-111T2-A8-1	AD-114T1-A9-1 *	AD-115T1-A12-1 *	AD-118t1-A13-1	AD-119t3-A195-8	AD-120t1-A226-8 *	AD-122t3-A197-8	AD-123T1-A25-1 *	AD-127T1-A14-1	AD-130T1-A1-1	AD-131T1-A15-A200-1*	AD-136t2-A201-8	AD-157T1-A246-10 *	AD-158t1-A247-10 *	AD-159t1-A229-8	AD-162t2-A230-8	AD-163t1-A203-8 *	AD-164t1a-A206-8 *	AD-167t1 (d dup)-A210-8 *	AD-169t2-A211-8 *	AD-170t1-A251-10 **	AD-172t2-A213-8 *	AD-173T1a-A23-1	AD-177T1-A21-1	AD-178T2-A22-1 *	AD-179t1(d dup)-A214-8 *	AD-183t1-A215-8 *	AD-185t2-A232-8	AD-186T1-A27-1	AD-187T1-A11-1 *	AD-188t1-A216-8	AD-201t1-A138-4	AD-202t2-A139-4	AD-203t1-A140-4 *	AD-207t1-A142-4	AD-208t1-A143-4	AD-210t1-A144-4	AD-212t1-A145-4	AD-213t1-A146-4	AD-218t1-A147-4	AD-221t1-A148-4	AD-224t1-A149-4	AD-225t1-A150-4	AD-226t2-A151-4	AD-228t2-A152-4 *	AD-230t1-A153-4	AD-232t1-A154-4	AD-234t1(dup)-A155-4	AD-236t1-A156-4	AD-238t2x-A157-4	AD-239t1-A158-4	AD-240t1-A159-4	AD-241t1x-A160-4	AD-243t1x-A161-4 *	AD-247t1-A164-4	AD-249t1x (d)-A165-4	AD-250t1-A166-4	AD-252t1-A167-4	AD-253t1-A168-4	AD-255t1a-A169-4 **	AD-258t1a-A170-4 ***	AD-259t1-A171-4	AD-260t1a-A172-4 *	AD-261t1b-A173-4	AD-262t1a-A259-10 *	AD-266t1-A90-3	AD-267t1-A91-3	AD-268t1(dup b4)-A93-3 **	AD-269t1-A94-3	AD-275t1-A95-3	AD-276t1(dup b4)-A96-3 *	AD-277t1-A97-3	AD-283t1-A99-3	AD-285t2c-A263-10	AD-287t1-A101-3	AD-294t1(dup b4)-A104-3 *	AD-295t1-A105-3	AD-296t21-A106-03 *	AD-299t1-A235-8 *	AD-301t1-A237-8 *	AD-302t3-A238-8 *	AD-304t1-A240-8	AD-305t1-A415-7	AD-308t1-A241-8	AD-309t1-A242-8	AD-311t1-A266-10 *	AD-313t1-A268-10	AD-314t1-A269-10	AD-315t1-A270-10	AD-317t1-A271-10	AD-318t3-A107-3	AD-320t1-A272-10	AD-323t1-A273-10	AD-327t1-A276-10 *	AD-330t2-A279-10	AD-331t1-A219-8	AD-332t1-A220-8	AD-334t1 (d dup)-A221-8 *	AD-335t1-A222-8 *	AD-336t1-A223-8	AD-337t1-A224-8	AD-338t1a-A121-3 *	AD-340t1a-A122-3 *	AD-341t1a-A123-3 *	AD-346t1a-A124-3 *	AD-347t1a-A125-3 *	AD-350t1a-A126-3 *	AD-351t1-A127-3	AD-352t1-A128-3	AD-353t1-A129-3	AD-355t2-A174-4	AD-356t1-A175-4	AD-360t1-A176-A406	AD-361t1-A177-4	AD-362t1-A282-10	AD-363t1-A283-10	AD-366t1-A109-3	AD-367t1-A110-3	AD-368t2-A285-10	AD-370t1x-A112-3	AD-374t1-A114-3	AD-375t1-A115-3 *	AD-379t1-A116-3 *	AD-382t1-A117-3 *	AD-383t1-A118-3 *	AD-384t1-A120-3 *	AD-AD10T1-A389-7	AD-AD15T1-A390-7	AD-AD16T2-A391-7	AD-AD18T1-A392-7	AD-AD19T1-A393-7	AD-AD1T1-A383-7	AD-AD2T1-A384-7	AD-AD31-A289-10	AD-AD3T1-A385-7	AD-AD4T1-A386-7	AD-AD5T1-A387-7	AD-AD7T1-A388-7	NL-1179-A408-7	NL-1675-A409-7	NL-1698-A410-7	NL-1884-A411-7	NL-2378-A412-7	NL-2562-A413-7	NL-268n1-A92-3	NL-279n1-A98-3	NL-3104-A331-6	NL-3681-A332-6	NL-4083-A333-6	NL-4353-A334-6	NL-504-A407?-7	NL-6084-A335-6	NL-6853-A336-6	NL-6943-A337-6	NL-7530-A338-6	SMCL-301-A306-5	SMCL-5937-A307-5	SMCL-SMCL3t1-A290-10	SMCL-SMCL4t1-A354-6	SMCL-SMCL8t1-A356-6	SMCL-SMCL9t1-A357-6	SQ-1174-A317-5	SQ-1670-A318-5	SQ-2557-A320-5	SQ-2572-A321-5	SQ-2921-A322-5	SQ-3197-A323-5	SQ-3529-A324-5	SQ-3624-A325-5	SQ-4172-A326-5	SQ-4389-A327-5	SQ-5897-A328-5	SQ-6147-A329-5	SQ-7324-A416-7	SQ-SQ10t1-A362-6	SQ-SQ13t1-A364-6	SQ-SQ14t1-A365-6	SQ-SQ20t1-A366-6	SQ-SQ4t1-A358-6	SQ-SQ5t1-A359-6	SQ-SQ6t1-A360-6	SQ-SQ8t1-A361-6	COID-1429-A303-5	COID-2260-A304-5	COID-3580-A302-5	COID-4385-A301-5	COID-4518-A305-5	COID-9794-A300-5	COID-COID10t1-A347-6	COID-COID11t1-A348-6	COID-COID12t1-A349-6	COID-COID13t1-A350-6	COID-COID14t1-A351-6	COID-COID16t1-A352-6	COID-COID18t1-A353-6	COID-COID3t1-A340-6	COID-COID4t1-A341-6	COID-COID5t1-A342-6	COID-COID6t1-A343-6	COID-COID7t1-A344-6	COID-COID8t1-A345-6	COID-COID9t1-A346-6
#AD#NL#SMCL#SQ#COID	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	3	3	3	3	3	3	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5
31330_at	11.26303	10.86466	10.79307	10.99499	11.06237	10.99563	11.11827	10.85009	11.27182	11.02712	10.68083	11.45492	11.41629	10.78278	11.38641	11.79535	10.61613	10.81666	10.88571	11.10603	11.00522	11.38542	11.07951	11.02160	11.04961	10.37003	11.24940	11.41744	11.17078	11.24568	11.46601	11.53201	10.93222	10.85051	10.62004	10.15841	10.99653	11.00757	11.06047	11.41061	11.12685	11.55557	10.81129	10.76204	10.80429	11.14677	11.94620	11.10098	11.27974	10.99418	10.71201	11.29613	10.81782	11.24843	10.87686	11.25981	10.98183	10.98569	11.29513	10.99077	10.91604	11.74291	10.98886	10.95230	10.20883	10.91557	10.93973	11.22620	11.13413	11.19660	10.84387	10.95865	10.95528	11.53054	11.49181	11.58509	10.73162	11.20940	10.83115	12.05935	11.35647	10.88335	11.49080	10.72692	10.47480	11.40550	11.21789	11.09646	11.62418	10.52924	11.63335	11.23712	12.08101	11.22445	11.12705	11.79805	10.68752	10.82225	11.09569	11.50130	11.93329	10.79949	10.84153	11.45502	11.32000	10.99231	10.65515	11.48108	11.13027	11.34267	11.70529	10.84589	11.22816	11.05160	10.95867	11.14550	10.89935	10.97154	11.33690	11.33222	10.93144	12.05705	11.18676	11.62184	11.61963	11.15258	11.57280	11.03790	11.17819	11.12321	10.82347	10.82247	11.08348	11.28996	11.50168	11.04296	11.38845	11.54494	11.39389	10.91997	10.78435	10.31999	10.80991	10.88769	10.90518	10.90998	11.25384	10.76756	10.99204	10.84216	10.78402	11.11617	10.80418	10.96674	10.74703	11.36319	11.23759	11.55941	11.09405	11.32852	11.22686	11.25173	10.48114	11.44483	11.22092	11.32749	11.47473	11.22289	11.56131	11.39812	10.95680	11.53474	11.75389	11.71501	11.06207	11.29802	11.81370	11.28050	11.27230	11.17015	10.83730	11.65683	11.38241	10.69774	10.64200	10.90998	10.12883	10.74501	10.34839	11.11416	10.49731	10.35911	9.98579	10.54769	9.50010	10.05964	10.01077	9.54757	9.99013	10.52791	10.87674	10.73263	9.93216
31403_at	5.62702	5.15623	4.66562	5.61088	4.77558	4.67582	5.97877	5.55213	5.17552	5.48285	4.89433	4.67864	3.81147	5.24679	5.19574	5.43062	4.47508	5.81954	4.37330	4.97705	5.81019	5.06623	6.27212	6.24012	5.64674	4.90929	5.90809	3.12019	5.21607	4.96763	5.13894	5.34341	3.98914	5.29902	6.09529	5.48929	6.23688	6.18329	5.01748	5.36667	6.19928	5.92647	5.59066	4.73660	5.63140	6.05028	4.46597	5.53916	5.47184	4.98368	5.47151	5.09972	6.01859	4.82731	6.02203	2.88362	5.78188	5.76208	4.87774	4.86839	2.11770	4.93652	5.98413	2.78521	4.18745	5.05376	5.31143	4.31904	5.25311	5.64414	3.52231	4.24184	5.22689	4.38750	6.09951	4.80787	5.41109	2.71149	5.82642	4.41278	7.20144	4.02901	5.56499	4.60940	5.14486	6.06199	5.74349	4.68482	6.20359	5.43296	5.20633	5.07810	5.85873	5.23917	5.21121	5.81121	4.11603	5.76633	5.96486	4.91552	4.91743	5.62527	6.46197	6.30186	4.48414	5.28096	6.04680	5.91851	6.96243	5.69014	5.78267	3.38819	1.24489	5.48736	2.83390	5.27724	2.68032	5.59723	5.92125	6.00518	5.36702	2.87971	5.07895	4.45943	6.33423	4.21412	5.69460	6.13648	4.90063	4.78764	5.55674	5.23955	3.56071	4.93876	4.20163	4.42223	3.03088	7.11967	2.88362	3.44095	3.81044	5.69850	4.16108	4.31832	4.70487	3.79805	4.05050	5.67384	2.64155	5.12143	3.80839	4.33557	4.60822	4.98231	6.09255	5.25588	6.91791	6.73755	5.94603	6.52356	7.13360	5.38681	4.45868	5.36702	5.88826	4.20006	2.10434	4.65935	5.19140	3.78241	0.18903	4.95884	4.20163	4.92267	4.51665	5.80219	5.82909	5.25437	3.86295	4.63052	4.40531	0.01436	3.81352	7.01179	8.35641	6.65578	6.60940	7.90280	7.16722	7.48002	6.40054	8.19987	8.52896	6.51995	6.24432	7.60155	7.70736	8.17233	7.66199	5.51159	6.74860	7.17871	5.61029
31431_at	8.94448	8.28253	7.48832	7.95600	8.23874	8.97105	8.00183	8.85449	8.12621	8.19402	8.10565	7.37217	8.57732	8.00910	8.41259	7.37643	7.70183	7.43237	7.92793	9.00374	7.30072	8.49209	8.42381	8.12748	7.27454	7.86028	8.34247	9.04573	7.61787	8.12448	8.07312	9.28397	8.02353	8.48148	8.46236	7.49562	8.33244	8.39090	8.85287	7.70750	8.73644	8.29935	6.65992	9.17547	8.42999	7.39099	8.22453	8.59731	8.05821	7.09402	8.50259	8.81545	9.25892	8.35848	8.05780	8.39017	6.88935	8.32251	6.95070	7.11884	8.11719	7.59485	8.38828	8.62289	8.08672	8.46068	9.17318	9.42870	7.59505	8.09840	7.35385	7.24760	6.27984	8.16867	8.05723	8.01642	8.68345	7.90677	7.59096	7.93210	6.62147	8.61198	7.15097	7.15714	8.42660	9.54533	8.77137	8.29586	8.40190	7.48519	8.39356	8.47460	10.73779	8.23544	8.21687	8.38664	8.52219	8.08619	7.80713	7.10129	8.68668	7.65585	8.31068	8.37395	7.22241	8.32744	8.81449	8.86278	6.17453	6.81928	9.33248	8.68004	8.48406	7.90671	8.16405	8.77413	8.88871	8.71805	7.46050	8.28364	7.96907	6.86975	7.91118	6.91355	7.34855	7.60285	8.57620	7.56316	7.74880	8.51857	8.19017	8.29517	8.83517	8.06577	9.37552	7.72096	8.66956	9.93977	9.08539	9.10688	8.83712	8.48224	8.64003	9.16453	8.86251	9.26031	9.55330	9.29499	9.09611	9.17707	8.77142	9.09716	9.16456	9.05943	9.14509	9.07940	7.75201	6.62000	8.28420	7.87073	5.88411	8.16456	6.39094	6.71370	6.65578	6.82209	7.90026	7.55873	6.89385	7.26941	6.93062	5.79077	8.98248	6.76607	8.00135	7.24127	7.08247	6.10978	5.83592	7.16531	7.50764	6.29627	7.54365	7.81064	3.87480	6.72206	5.01748	7.58316	4.71644	5.35085	7.99577	6.56666	4.54411	7.72342	5.78057	7.64451	5.95536	5.48671	6.92683	7.92884	7.13443	6.80620	4.41752
31432_g_at	9.39924	8.55401	8.28279	8.33501	8.60192	9.60301	8.53417	9.47711	8.63314	8.68513	8.70781	7.75832	8.88560	8.80512	9.05257	8.15122	8.60448	8.30791	8.66968	9.50753	8.05815	9.04034	9.45675	8.80109	7.70328	8.57245	8.99915	9.42550	8.67511	8.60944	8.84511	9.60892	8.52093	8.90890	8.95565	8.18992	8.85449	8.55582	8.87566	8.26083	9.20367	8.64875	7.76971	9.40886	8.84065	8.05523	8.61754	8.80103	8.70065	7.74953	9.12461	9.26971	9.57380	8.61007	8.67758	9.05547	8.16350	9.13124	8.15264	8.01659	8.64502	8.35545	9.31741	9.42862	8.73247	8.94808	9.57283	9.54255	7.99283	8.48014	7.82171	7.83248	7.27240	8.24198	8.74409	8.36755	9.11876	8.29912	7.87240	8.96421	7.89200	9.42488	8.18824	8.29218	9.22219	10.25828	9.49787	8.64404	8.89409	8.32242	8.89442	9.40529	11.11055	8.91940	8.69601	9.04584	9.42593	8.97209	8.65107	8.12249	8.97304	8.32594	8.87642	8.75265	7.24589	8.68752	9.25714	9.06817	6.10852	7.20877	9.62326	9.43018	9.42303	8.69509	8.97479	9.15028	9.49550	9.11671	7.92107	9.02059	8.97065	7.59947	8.74792	7.86867	8.00501	7.82833	8.74571	8.65782	8.75094	9.17458	9.05028	9.20041	9.70004	9.11920	9.88903	8.81070	9.73422	10.62116	9.95408	9.56896	9.40024	8.68011	9.70408	9.68682	9.35874	9.53296	9.46903	9.58686	9.54228	9.50764	9.29333	9.81861	9.33898	9.79729	9.54769	9.56400	8.08720	7.28457	8.69098	8.46687	6.82972	8.97137	7.83150	7.30624	7.65750	7.68173	8.67553	8.50831	7.82349	7.95006	7.67638	5.82451	9.70676	7.11426	8.90412	7.75542	7.92244	7.12815	6.98071	8.21330	8.60088	7.21471	8.19633	8.10224	5.42660	7.44410	4.66676	7.93009	2.50335	5.50271	8.24284	7.55267	4.59276	8.16370	5.50970	8.32098	6.39797	4.73227	7.00236	8.61515	7.60874	7.57259	4.51223
31444_s_at	11.16172	11.06407	11.44310	10.90277	11.48188	11.39772	11.93561	11.79821	11.70054	11.44396	11.05944	11.08671	11.60031	11.32379	11.08985	11.28845	11.88635	11.45608	12.02710	11.50887	11.88647	11.65083	11.51224	11.40154	11.48899	11.48058	10.77857	11.43397	10.45982	11.29670	11.99070	10.41462	12.09813	11.05757	11.61821	10.86895	11.29013	11.51245	11.51840	10.99305	12.04734	11.61792	11.47375	11.27227	10.90506	11.39780	11.44849	10.90313	11.81890	11.19096	11.34563	11.31133	11.67964	12.00801	11.50147	11.99760	11.67394	11.80726	11.35268	12.01248	11.68780	11.72813	11.80839	12.07972	11.82876	11.72272	11.19430	10.89685	10.46562	11.03282	11.69281	11.61983	11.20612	11.31436	11.68713	11.49165	11.80056	11.94641	11.72490	11.55453	10.37762	12.31613	12.12727	11.73085	11.42898	11.78833	11.39518	11.43917	11.78339	11.53305	11.15719	11.69844	11.78147	11.82120	11.35796	11.65222	11.52237	11.72699	11.29618	12.16114	11.73870	11.84012	10.92051	11.15852	11.42646	10.88355	11.00473	11.66017	10.17966	10.78199	10.30884	12.21967	11.61550	12.05915	11.39669	11.67570	12.00789	10.93401	9.53693	11.23975	11.46329	11.54576	11.38069	11.56129	10.98497	11.92985	10.87907	12.38498	11.80305	12.05769	11.54886	11.18843	11.97303	10.64667	11.10231	11.47702	12.02567	11.60381	12.14636	12.16035	12.04098	12.13576	12.05506	11.80905	11.90728	10.98018	11.55730	11.97379	12.01612	11.78856	12.11881	12.15625	12.04177	11.59633	11.81525	11.91152	10.78300	11.02896	11.12561	11.35845	10.01470	11.48189	11.11228	12.28001	12.26754	11.63463	12.01649	12.22297	11.31367	12.23548	11.91360	11.99990	11.65929	11.50774	12.30413	10.96568	12.36883	12.27227	12.27081	12.08606	11.96620	10.16575	12.22175	9.82788	9.42167	9.91539	9.38487	9.27798	9.48363	8.86285	10.25107	10.19396	9.42177	8.74170	9.36888	9.69620	8.75402	8.99766	8.94357	11.06893	8.34274	9.93090	9.06356
31481_s_at	10.17759	9.75104	9.97029	9.97539	10.43107	9.80597	11.18056	10.32134	10.68984	9.54026	9.39819	10.00602	10.61972	10.41425	10.53725	9.31202	10.43952	8.66970	11.00112	9.57852	10.89798	9.44842	10.05470	9.58306	10.19814	9.54340	10.26931	10.23589	10.07232	9.92711	9.83715	9.15611	9.94736	9.85303	9.45230	10.05629	10.14092	10.10456	10.92060	9.49077	9.18708	10.30608	10.36075	9.92634	9.52493	10.13585	9.09866	8.85250	10.17314	10.61475	10.25426	10.39526	9.70131	10.36400	9.74148	11.02196	10.71522	10.19006	10.84491	10.33748	10.58789	10.75103	10.27609	10.81166	10.52459	10.11300	9.86230	9.90375	9.43354	10.19406	11.39109	10.14764	10.54037	10.73236	10.35470	11.28776	10.38206	10.85733	10.27018	9.80554	9.61132	10.05041	10.78133	9.95389	10.89297	9.08977	10.24196	10.61403	10.61793	9.98981	9.23036	9.84530	10.09150	10.53175	10.56553	10.32583	10.34289	9.84339	10.01621	10.39899	10.24577	11.03575	8.58752	10.29099	10.32893	9.63171	10.53012	10.17226	10.08400	10.94159	8.47982	10.15554	9.51369	10.70772	10.15217	10.31481	10.00676	10.50012	10.02639	10.44702	10.30260	10.78806	10.16685	10.55812	9.79366	11.04415	10.35808	10.55975	10.42320	10.24252	10.50519	10.43089	9.36835	9.61624	10.58928	10.40844	10.54884	9.67223	10.11494	10.02215	10.25980	10.05207	10.10125	10.05091	9.81460	10.16140	10.11196	9.93911	9.93783	10.02191	10.01974	10.02076	10.02283	10.02517	10.06614	10.23522	9.84529	9.43550	10.50960	9.31018	8.70891	10.01659	9.31535	10.51971	10.36540	10.58895	9.86154	10.22207	11.06810	9.60905	10.75503	9.67811	10.48341	9.66571	10.00121	10.15913	10.14855	9.73446	10.29446	9.27188	9.86360	9.32661	9.96138	8.88512	7.94574	8.62169	7.96492	8.30501	7.86338	7.52325	8.54612	8.88646	8.38638	7.72921	8.07184	8.53041	8.23295	8.47228	7.46262	9.08632	7.63416	8.26800	8.19692
31557_at	11.62209	11.44789	11.81667	11.67220	11.78449	12.01182	11.40798	11.97250	11.64309	11.69576	11.11181	11.13289	11.83171	11.71044	12.03131	11.92985	11.71114	11.56439	11.71218	11.65926	11.46595	10.80984	11.77482	11.83534	12.14165	11.70563	11.86204	11.79835	11.97453	10.18928	11.78747	10.82836	11.50880	12.03738	12.10288	12.17867	11.79620	11.81054	12.05071	11.49292	11.71337	11.72552	11.58628	11.99772	11.64931	11.65781	12.27406	11.62598	11.36879	11.37093	11.53114	11.71333	12.07864	11.76733	11.87147	11.94705	11.59864	11.60269	11.67307	11.70514	12.04551	11.43544	11.84784	12.05053	12.05303	11.96883	11.84578	11.74138	12.01000	11.74718	12.35837	11.48898	10.94182	11.72903	11.74113	11.66065	12.01845	11.50001	12.10626	11.62904	11.68031	12.22147	11.67142	11.70468	11.69231	11.94436	11.96339	11.87657	11.72921	11.77290	11.54350	11.77938	11.50900	11.96219	11.94164	11.84639	11.83083	11.77617	12.20847	11.70017	12.18199	11.64474	11.81395	11.88173	11.87418	11.69071	11.73736	12.05379	11.73795	11.18486	11.28889	11.96662	12.19546	11.79144	11.90225	12.11698	11.98687	11.55655	11.78436	11.56571	11.65328	11.82536	11.97306	11.51907	11.66518	11.55731	11.82929	11.84699	11.65448	11.78727	11.81662	12.01463	11.99216	11.56481	11.96489	12.20816	11.99316	12.21187	12.12868	12.09256	11.98518	12.11264	12.16059	11.94172	12.21391	11.96960	12.13560	12.04895	12.22087	12.15462	12.24382	11.94912	12.26598	12.12004	12.10328	12.10280	11.91749	11.64509	11.97794	11.99641	11.34453	11.95853	11.42913	11.80141	11.62589	11.36107	11.74000	11.85940	11.66868	11.64866	11.75825	11.01367	11.88994	11.86460	11.75892	11.33551	11.76257	11.62173	11.70956	11.46514	11.49830	11.38189	11.52023	11.11183	11.09176	11.19776	11.97142	10.34897	11.56814	10.16053	11.42293	11.72548	10.62514	10.25860	9.88710	10.56980	10.60145	10.68410	11.62899	11.59390	9.89136	11.89180	10.31491
31671_at	6.35491	6.92671	6.76374	5.85499	6.91253	6.97923	5.66334	7.19859	7.25503	7.71781	7.60511	5.86925	7.10182	6.34572	6.03925	5.62965	7.66661	5.09001	6.97264	7.33423	6.18953	6.62230	7.09582	7.43388	7.08545	6.29756	7.21752	6.36142	4.97682	8.31079	6.82286	6.82693	6.86208	6.89494	6.97172	5.99977	6.70625	6.83592	7.58699	6.43546	6.18051	6.29719	5.97820	6.41633	6.82515	7.09819	6.36159	7.25786	7.20291	7.42307	7.04428	6.78999	6.93793	6.30177	6.90153	6.83567	6.91421	6.12949	5.79207	6.67652	6.85740	7.06451	7.18090	7.12086	7.00439	6.58676	6.66363	6.73525	6.47254	7.23343	7.31261	7.40037	6.62936	7.25380	6.05832	7.95431	6.54272	6.80980	6.65069	7.29251	4.76022	6.37938	7.00596	5.81275	5.67356	6.67426	5.88301	6.86282	4.78921	7.20994	6.70016	7.66789	6.59723	6.71081	6.91654	6.91265	6.74147	6.65992	4.52857	6.86703	6.12081	5.88509	6.78607	6.71521	7.36181	7.24911	7.29043	7.06991	5.70183	6.73295	7.19486	7.05039	5.97292	6.48816	6.20359	6.64559	7.38982	6.44427	6.17093	6.08321	7.34456	6.51223	5.95884	7.15578	6.30807	7.09196	6.21228	6.73118	5.49570	6.48317	5.80761	5.40701	7.43679	5.26917	6.71438	5.11395	5.96047	6.05745	5.60674	7.57728	7.12505	7.20809	7.08076	7.57387	7.33575	7.54334	7.93717	7.36868	7.53224	7.03529	7.45820	7.54001	7.03562	7.53356	7.14006	6.32930	6.22323	5.67440	6.22130	4.49121	4.88996	5.77926	6.44410	7.51649	7.41481	6.86901	6.98299	6.55228	7.46752	7.46948	7.30323	7.24869	6.84825	3.58976	6.99989	6.08619	6.88472	6.09719	6.98071	6.02636	7.46557	5.07980	6.56590	6.28928	5.05615	5.91097	4.41513	5.80271	6.25285	3.85798	5.51538	6.00809	4.07810	5.19495	5.86617	3.91552	4.31034	3.83582	5.16792	5.18110	4.38059	5.46793	4.03298
31719_at	10.43652	9.93180	10.28712	10.12646	9.99359	10.61267	10.17223	11.36754	11.40076	10.59725	9.59307	9.85031	10.32980	11.26803	9.46855	10.34086	9.96920	10.09018	10.40631	10.72463	9.75444	8.37259	10.84236	8.86003	11.04833	8.48470	9.04838	9.14111	9.90965	6.49665	11.45344	8.41261	11.02195	10.10953	10.13717	10.26059	10.19786	10.72907	10.90149	8.95280	9.32551	11.02761	9.91350	10.57840	9.76979	10.13034	9.98383	9.89227	10.77893	10.62304	11.23380	9.93109	9.61642	10.60268	9.77189	10.38766	10.39032	9.73635	10.08156	10.56649	9.91575	10.46612	11.30196	10.98212	11.29449	9.62922	10.86291	8.90707	8.45422	9.95680	10.16838	9.66908	10.82111	11.25394	10.02091	10.24586	11.66910	11.56429	10.35301	9.50915	9.39301	10.87017	10.98748	9.73324	10.44827	8.27659	10.61330	9.92273	10.30115	10.08925	8.12267	8.84417	8.87237	11.23080	10.28144	10.29638	8.62983	9.99101	10.12143	11.03368	9.96174	10.96012	7.28212	9.76581	10.42212	10.23026	9.91671	9.31257	9.18426	10.70402	8.57410	11.04883	9.83821	10.56219	10.32642	8.19101	9.99137	10.54468	10.16942	9.61314	10.75329	10.08428	11.33501	9.49867	8.55282	9.93743	10.00213	9.65585	10.15325	10.61467	10.10158	9.47381	9.61047	10.28720	9.77749	10.22336	9.10326	7.73701	9.40489	11.14370	10.78763	10.51946	10.53589	10.55728	10.65056	10.06505	11.20133	10.62080	11.23966	10.81991	10.64162	10.46033	10.87646	10.05463	10.41648	10.42592	10.47314	10.97383	10.43522	10.26615	7.44989	9.63824	10.28693	10.66255	10.66630	8.98974	9.48935	10.19718	9.50754	9.64276	11.02981	9.25673	9.88205	8.85350	10.95093	9.77091	10.16609	10.51697	9.42926	9.08765	10.69412	9.17253	9.95140	8.10224	7.32364	7.37495	7.03397	7.36115	9.21924	7.80568	8.39365	9.19353	7.93646	5.78921	5.83238	7.45393	4.97039	5.20399	7.00236	9.20181	5.31832	9.31501	7.76168
31720_s_at	10.43567	9.98366	10.12980	9.64350	10.19029	10.66495	9.85754	11.60220	11.51371	10.51306	9.61794	9.87556	10.48261	10.91376	9.36278	10.29842	9.89639	10.20888	10.50047	10.70301	9.63143	8.62787	10.88526	8.44853	11.13698	8.59384	9.17190	9.23030	9.80080	6.62044	11.57405	8.43070	11.17931	10.39198	10.21053	9.95348	10.16189	10.71863	11.04346	8.91713	9.27931	11.13105	10.09482	10.72570	9.79536	10.17319	10.21111	10.14387	10.85364	10.79452	11.07894	10.14919	9.81429	10.34544	9.73440	10.44645	10.36630	9.54495	10.02129	10.63629	10.22977	10.79404	11.51434	11.04660	11.45405	9.37439	10.46333	8.74967	8.54648	9.87397	9.84056	9.38628	10.07718	11.06995	9.59305	9.73838	11.87758	11.49650	10.13283	9.53204	9.48896	11.07902	11.04409	9.40190	10.42437	8.10805	9.96115	10.00804	10.23597	10.02517	7.62505	8.50696	8.47054	11.16599	10.25543	10.20639	8.65141	9.73853	9.96717	10.85586	9.70869	10.95732	6.89209	9.30547	10.27692	10.21359	9.43756	8.63925	8.78244	10.25078	8.71836	10.94878	10.36744	10.53246	10.78641	8.08693	10.13942	10.52153	9.98719	9.68576	9.51246	9.82831	11.13932	9.07860	8.73990	9.78052	9.89893	9.65896	10.40252	10.88126	10.33696	9.54876	9.71732	10.32291	9.50514	10.44360	8.45812	8.39985	9.59259	11.35413	10.64197	10.02400	10.40372	10.65709	10.68903	9.94257	11.22683	10.52779	11.27138	10.66761	10.70182	10.63377	11.04349	9.53306	9.99322	9.81282	10.56604	11.03781	10.48559	10.33031	7.34163	9.81086	10.49715	10.52799	10.69855	8.87117	9.41823	10.27297	8.95382	9.92844	11.09876	9.38599	9.82968	9.00087	10.88221	9.23867	10.34240	10.58363	9.33421	9.27188	10.62865	9.41876	10.11180	8.04532	7.49705	7.17243	7.49785	7.48164	9.29621	8.26936	8.49526	8.33275	7.80723	6.22516	6.25701	7.77913	6.55949	5.01748	7.69077	9.59846	6.11624	9.94924	8.05794
